FranchiseId	FranchiseSeasonId	Slug	Abbreviation	ColorCodeHex	ColorCodeAltHex
bbdcec4c-7f02-1a12-e031-93e14a73b3e1	957af2a6-d795-fb56-de19-8db61047ade1	ashland-eagles	ASH	000000	NULL
5194d8ad-a41b-2adb-4b8d-3dc8c10545d2	47a565e6-400f-2094-f1d3-4c2d7efd0521	assumption-greyhounds	ASP	000000	NULL
8d05ae6f-b9d2-6b82-4fc2-cd809659c965	c3d0d4bc-3417-32e2-f579-9f71db71a9dd	auburn-tigers	AUB	002b5c	f26522
c0de6495-1223-87a0-e3ad-e3849312b908	42211680-a5cb-b878-c331-6d0b93171150	augsburg-auggies	AUG	74233d	a9a9aa
7f23470a-ef7d-17f4-3762-fb000956977e	709da5ce-c726-8133-468f-f0556e9212f1	augustana-il-vikings	AUG	000000	NULL
ec064cd1-440b-421a-8b80-4a5961ec9221	3d164f6f-5f15-470c-2a22-82214c857792	augustana-university-sd-vikings	AUSD	000000	NULL
25a97c1f-0b40-1935-6c90-519b19e775e7	f16dd1f9-5809-c187-683b-a882153c2b70	aurora-spartans	AUR	00549f	000000
a8a04dfa-e11b-d26d-312e-5a117ee8bd63	82ded58a-66b5-0d8a-51a1-d5dbd8c247a9	austin-peay-governors	APSU	8e0b0b	NULL
a5f3cf6f-52c4-13b9-94a0-7de72954489c	28d3338c-c399-3784-91fd-d2c41a80105a	austin-roos	AUS	000000	NULL
57992651-8c64-6d91-9c30-af759167a75e	bbf0cc75-e724-9eb2-4a9d-5e16056c1e74	averett-cougars	AVE	012853	fdbb30
2dd31e18-32cb-ddc6-a697-0e0663a45c96	0a45dc96-c57f-b62e-edc3-16013b030a82	baker-university-baker	BAK	000000	NULL
9cd57e93-ad34-a4fd-74c1-ee11aba4c8a2	c24a1d7f-60c1-20d8-9ab3-732025b75af4	baldwin-wallace-yellow-jackets	BALW	000000	NULL
dcb12c44-8559-af67-7b6a-b5522f37dbe5	eedb3c9b-d9d6-65f9-840d-7b82cee64964	ball-state-cardinals	BALL	DA0000	ffffff
f1e8d42b-d2a1-1712-d252-07795c9d4c4b	7da9676b-b10e-be94-d3db-108597b48ffb	barton-bulldogs	BAR	000000	NULL
1527ee01-9f18-0584-8ac0-501868ac0171	b007e5e4-1b17-11a1-c668-b37de8f1cbc5	baylor-bears	BAY	154734	ffb81c
65e79f16-d91f-1ef8-40fc-f08d92269ce8	0951dfbd-6b1b-cf5e-5e53-77e91ce7f094	belhaven-blazers	BEL	215732	f2a900
82527cf7-1d28-0a50-f170-1e356cb63827	3dc418d8-8f9b-dfe1-7e0f-c8c2b2b1375d	bemidji-state-beavers	BST	000000	NULL
90eb657d-bba9-4847-0e13-175daa9d7037	6038d57a-1334-0487-fab9-2565b62836f2	benedict-college-tigers	BEN	ffffff	NULL
e768801f-8cff-c718-7ce5-b74576a1175f	ffa12e55-a9cb-f947-5a19-96151e7a5508	bentley-falcons	BENT	000000	NULL
a3fe866e-2a2a-98be-5736-c519aceef849	51475db7-3617-410b-451f-2055a03f26ce	berry-college-vikings	BER	ffffff	NULL
69ae69d1-5602-2387-7af1-55dd6abb3c85	ceb24907-b723-a962-e3bb-6f25510278ae	bethany-ks-bethany-ks	BET	000000	NULL
158d57e2-e899-f5e2-a4fb-69e01606617e	0541e5a4-8ff1-185a-72c9-f35ca77bb192	bethany-wv-bison	BET	000000	NULL
f7bee80d-e0bf-4943-01cf-07939f29f801	057e5fe3-409c-687c-7a6b-0447ed140161	bethel-mn-royals	BET	002d62	b59859
7184296f-5c38-256a-8f88-a790efc24d63	b13e7c9e-3bcd-2ab7-fdd1-0dd7ec476de9	bethune-cookman-wildcats	BCU	7b1831	e9aa12
